JOB ID,JOB,HP,MP,STR,VIT,DEX,INT,MND
1,GLA,130,100,95,100,90,50,95
2,PGL,105,100,100,95,100,45,85
3,MRD,135,100,100,100,90,30,50
4,LNC,110,100,105,100,95,40,60
5,ARC,100,100,85,95,105,80,75
6,CNJ,100,100,50,95,100,100,105
7,THM,100,100,40,95,95,105,70
19,PLD,140,100,100,110,95,60,100
20,MNK,110,100,110,100,105,50,90
21,WAR,145,100,105,110,95,40,55
22,DRG,115,100,115,105,100,45,65
23,BRD,105,100,90,100,115,85,80
24,WHM,105,100,55,100,105,105,115
25,BLM,105,100,45,100,100,115,75
26,ACN,100,100,85,95,95,105,75
27,SMN,105,100,90,100,100,115,80
28,SCH,105,100,90,100,100,105,115
29,ROG,103,100,80,95,100,60,70
30,NIN,108,100,85,100,110,65,75
31,MCH,105,100,85,100,115,80,85
32,DRK,140,100,105,110,95,60,40
33,AST,105,100,50,100,100,105,115
34,SAM,109,100,112,100,108,60,50
35,RDM,105,100,55,100,105,115,110
36,BLU,105,100,70,100,110,115,105
37,GNB,120,100,100,110,95,60,100
38,DNC,105,100,90,100,115,85,80
39,RPR,115,100,115,105,100,80,40
40,SGE,105,100,60,100,100,115,115
